pair_id,pair_role,unordered_entity_a,unordered_entity_b,label,train_entity_1,train_entity_2,reverse_entity_1,reverse_entity_2,reverse_split
pair_000288,query,entity_0080,entity_0035,0,entity_0080,entity_0035,entity_0035,entity_0080,validation
pair_000289,query,entity_0073,entity_0055,0,entity_0055,entity_0073,entity_0073,entity_0055,test
pair_000290,query,entity_0028,entity_0009,0,entity_0009,entity_0028,entity_0028,entity_0009,test
pair_000291,query,entity_0048,entity_0076,0,entity_0048,entity_0076,entity_0076,entity_0048,test
pair_000292,query,entity_0059,entity_0008,1,entity_0059,entity_0008,entity_0008,entity_0059,test
pair_000293,query,entity_0057,entity_0013,0,entity_0057,entity_0013,entity_0013,entity_0057,validation
pair_000294,query,entity_0040,entity_0046,1,entity_0040,entity_0046,entity_0046,entity_0040,test
pair_000295,query,entity_0040,entity_0034,1,entity_0040,entity_0034,entity_0034,entity_0040,test
pair_000296,query,entity_0048,entity_0020,1,entity_0048,entity_0020,entity_0020,entity_0048,test
pair_000297,query,entity_0050,entity_0063,0,entity_0050,entity_0063,entity_0063,entity_0050,test
pair_000298,query,entity_0052,entity_0018,0,entity_0018,entity_0052,entity_0052,entity_0018,test
pair_000299,query,entity_0023,entity_0061,1,entity_0023,entity_0061,entity_0061,entity_0023,test
pair_000300,query,entity_0068,entity_0050,1,entity_0068,entity_0050,entity_0050,entity_0068,test
pair_000301,query,entity_0003,entity_0007,0,entity_0007,entity_0003,entity_0003,entity_0007,test
pair_000302,query,entity_0080,entity_0050,1,entity_0080,entity_0050,entity_0050,entity_0080,test
pair_000303,query,entity_0034,entity_0078,1,entity_0078,entity_0034,entity_0034,entity_0078,test
pair_000304,query,entity_0019,entity_0014,1,entity_0019,entity_0014,entity_0014,entity_0019,test
pair_000305,query,entity_0059,entity_0013,0,entity_0013,entity_0059,entity_0059,entity_0013,test
pair_000306,query,entity_0051,entity_0055,0,entity_0051,entity_0055,entity_0055,entity_0051,validation
pair_000307,query,entity_0002,entity_0054,0,entity_0054,entity_0002,entity_0002,entity_0054,validation
pair_000308,query,entity_0065,entity_0015,1,entity_0065,entity_0015,entity_0015,entity_0065,test
pair_000309,query,entity_0035,entity_0015,1,entity_0015,entity_0035,entity_0035,entity_0015,test
pair_000310,query,entity_0067,entity_0063,1,entity_0067,entity_0063,entity_0063,entity_0067,test
pair_000311,query,entity_0031,entity_0039,0,entity_0031,entity_0039,entity_0039,entity_0031,test
pair_000312,query,entity_0057,entity_0061,0,entity_0061,entity_0057,entity_0057,entity_0061,test
pair_000313,query,entity_0015,entity_0026,1,entity_0026,entity_0015,entity_0015,entity_0026,test
pair_000314,query,entity_0016,entity_0009,0,entity_0016,entity_0009,entity_0009,entity_0016,validation
pair_000315,query,entity_0015,entity_0010,0,entity_0010,entity_0015,entity_0015,entity_0010,test
pair_000316,query,entity_0035,entity_0017,0,entity_0035,entity_0017,entity_0017,entity_0035,test
pair_000317,query,entity_0052,entity_0031,0,entity_0031,entity_0052,entity_0052,entity_0031,test
pair_000318,query,entity_0015,entity_0009,1,entity_0009,entity_0015,entity_0015,entity_0009,validation
pair_000319,query,entity_0057,entity_0076,1,entity_0057,entity_0076,entity_0076,entity_0057,test
pair_000320,query,entity_0065,entity_0076,1,entity_0076,entity_0065,entity_0065,entity_0076,test
