pair_id,pair_role,unordered_entity_a,unordered_entity_b,positive_entity_1,positive_entity_2,negative_entity_1,negative_entity_2,train_entity_1,train_entity_2,train_label,reverse_entity_1,reverse_entity_2,reverse_label,reverse_split
pair_000185,query,entity_0008,entity_0013,entity_0008,entity_0013,entity_0013,entity_0008,entity_0013,entity_0008,0,entity_0008,entity_0013,1,validation
pair_000186,query,entity_0042,entity_0053,entity_0042,entity_0053,entity_0053,entity_0042,entity_0053,entity_0042,0,entity_0042,entity_0053,1,test
pair_000187,demo,entity_0003,entity_0053,entity_0003,entity_0053,entity_0053,entity_0003,entity_0003,entity_0053,1,entity_0053,entity_0003,0,train
pair_000188,query,entity_0050,entity_0040,entity_0050,entity_0040,entity_0040,entity_0050,entity_0040,entity_0050,0,entity_0050,entity_0040,1,validation
pair_000189,demo,entity_0050,entity_0018,entity_0050,entity_0018,entity_0018,entity_0050,entity_0018,entity_0050,0,entity_0050,entity_0018,1,train
pair_000190,demo,entity_0012,entity_0034,entity_0012,entity_0034,entity_0034,entity_0012,entity_0012,entity_0034,1,entity_0034,entity_0012,0,train
pair_000191,demo,entity_0021,entity_0010,entity_0021,entity_0010,entity_0010,entity_0021,entity_0010,entity_0021,0,entity_0021,entity_0010,1,train
pair_000192,query,entity_0058,entity_0005,entity_0058,entity_0005,entity_0005,entity_0058,entity_0058,entity_0005,1,entity_0005,entity_0058,0,validation
pair_000193,demo,entity_0008,entity_0010,entity_0008,entity_0010,entity_0010,entity_0008,entity_0008,entity_0010,1,entity_0010,entity_0008,0,train
pair_000194,query,entity_0049,entity_0012,entity_0049,entity_0012,entity_0012,entity_0049,entity_0012,entity_0049,0,entity_0049,entity_0012,1,test
pair_000195,demo,entity_0038,entity_0033,entity_0038,entity_0033,entity_0033,entity_0038,entity_0038,entity_0033,1,entity_0033,entity_0038,0,train
pair_000196,demo,entity_0039,entity_0058,entity_0039,entity_0058,entity_0058,entity_0039,entity_0039,entity_0058,1,entity_0058,entity_0039,0,train
pair_000197,demo,entity_0022,entity_0010,entity_0022,entity_0010,entity_0010,entity_0022,entity_0022,entity_0010,1,entity_0010,entity_0022,0,train
pair_000198,demo,entity_0026,entity_0043,entity_0026,entity_0043,entity_0043,entity_0026,entity_0026,entity_0043,1,entity_0043,entity_0026,0,train
pair_000199,query,entity_0037,entity_0005,entity_0037,entity_0005,entity_0005,entity_0037,entity_0005,entity_0037,0,entity_0037,entity_0005,1,test
pair_000200,demo,entity_0059,entity_0012,entity_0059,entity_0012,entity_0012,entity_0059,entity_0012,entity_0059,0,entity_0059,entity_0012,1,train
pair_000201,demo,entity_0051,entity_0047,entity_0051,entity_0047,entity_0047,entity_0051,entity_0051,entity_0047,1,entity_0047,entity_0051,0,train
pair_000202,query,entity_0042,entity_0017,entity_0042,entity_0017,entity_0017,entity_0042,entity_0017,entity_0042,0,entity_0042,entity_0017,1,validation
pair_000203,query,entity_0037,entity_0007,entity_0037,entity_0007,entity_0007,entity_0037,entity_0037,entity_0007,1,entity_0007,entity_0037,0,validation
pair_000204,demo,entity_0006,entity_0037,entity_0006,entity_0037,entity_0037,entity_0006,entity_0006,entity_0037,1,entity_0037,entity_0006,0,train
pair_000205,query,entity_0042,entity_0009,entity_0042,entity_0009,entity_0009,entity_0042,entity_0009,entity_0042,0,entity_0042,entity_0009,1,test
pair_000206,demo,entity_0012,entity_0024,entity_0012,entity_0024,entity_0024,entity_0012,entity_0012,entity_0024,1,entity_0024,entity_0012,0,train
pair_000207,demo,entity_0018,entity_0028,entity_0018,entity_0028,entity_0028,entity_0018,entity_0018,entity_0028,1,entity_0028,entity_0018,0,train
pair_000208,demo,entity_0059,entity_0029,entity_0059,entity_0029,entity_0029,entity_0059,entity_0029,entity_0059,0,entity_0059,entity_0029,1,train
pair_000209,query,entity_0044,entity_0009,entity_0044,entity_0009,entity_0009,entity_0044,entity_0044,entity_0009,1,entity_0009,entity_0044,0,test
pair_000210,demo,entity_0057,entity_0027,entity_0057,entity_0027,entity_0027,entity_0057,entity_0057,entity_0027,1,entity_0027,entity_0057,0,train
pair_000211,demo,entity_0021,entity_0044,entity_0021,entity_0044,entity_0044,entity_0021,entity_0021,entity_0044,1,entity_0044,entity_0021,0,train
pair_000212,query,entity_0033,entity_0051,entity_0033,entity_0051,entity_0051,entity_0033,entity_0051,entity_0033,0,entity_0033,entity_0051,1,test
pair_000213,query,entity_0041,entity_0018,entity_0041,entity_0018,entity_0018,entity_0041,entity_0018,entity_0041,0,entity_0041,entity_0018,1,test
pair_000214,query,entity_0038,entity_0060,entity_0038,entity_0060,entity_0060,entity_0038,entity_0038,entity_0060,1,entity_0060,entity_0038,0,test
pair_000215,query,entity_0054,entity_0003,entity_0054,entity_0003,entity_0003,entity_0054,entity_0054,entity_0003,1,entity_0003,entity_0054,0,test
pair_000216,query,entity_0046,entity_0023,entity_0046,entity_0023,entity_0023,entity_0046,entity_0046,entity_0023,1,entity_0023,entity_0046,0,test
pair_000217,query,entity_0041,entity_0054,entity_0041,entity_0054,entity_0054,entity_0041,entity_0041,entity_0054,1,entity_0054,entity_0041,0,test
pair_000218,query,entity_0005,entity_0043,entity_0005,entity_0043,entity_0043,entity_0005,entity_0005,entity_0043,1,entity_0043,entity_0005,0,test
pair_000219,demo,entity_0019,entity_0035,entity_0019,entity_0035,entity_0035,entity_0019,entity_0035,entity_0019,0,entity_0019,entity_0035,1,train
pair_000220,demo,entity_0021,entity_0001,entity_0021,entity_0001,entity_0001,entity_0021,entity_0021,entity_0001,1,entity_0001,entity_0021,0,train
pair_000221,query,entity_0019,entity_0046,entity_0019,entity_0046,entity_0046,entity_0019,entity_0019,entity_0046,1,entity_0046,entity_0019,0,validation
pair_000222,query,entity_0059,entity_0052,entity_0059,entity_0052,entity_0052,entity_0059,entity_0059,entity_0052,1,entity_0052,entity_0059,0,test
pair_000223,query,entity_0038,entity_0045,entity_0038,entity_0045,entity_0045,entity_0038,entity_0038,entity_0045,1,entity_0045,entity_0038,0,test
pair_000224,demo,entity_0056,entity_0033,entity_0056,entity_0033,entity_0033,entity_0056,entity_0033,entity_0056,0,entity_0056,entity_0033,1,train
pair_000225,query,entity_0050,entity_0048,entity_0050,entity_0048,entity_0048,entity_0050,entity_0048,entity_0050,0,entity_0050,entity_0048,1,test
pair_000226,demo,entity_0006,entity_0048,entity_0006,entity_0048,entity_0048,entity_0006,entity_0048,entity_0006,0,entity_0006,entity_0048,1,train
pair_000227,query,entity_0042,entity_0013,entity_0042,entity_0013,entity_0013,entity_0042,entity_0042,entity_0013,1,entity_0013,entity_0042,0,test
pair_000228,demo,entity_0054,entity_0045,entity_0054,entity_0045,entity_0045,entity_0054,entity_0045,entity_0054,0,entity_0054,entity_0045,1,train
pair_000229,demo,entity_0045,entity_0008,entity_0045,entity_0008,entity_0008,entity_0045,entity_0045,entity_0008,1,entity_0008,entity_0045,0,train
pair_000230,query,entity_0056,entity_0032,entity_0056,entity_0032,entity_0032,entity_0056,entity_0056,entity_0032,1,entity_0032,entity_0056,0,test
pair_000231,demo,entity_0056,entity_0024,entity_0056,entity_0024,entity_0024,entity_0056,entity_0024,entity_0056,0,entity_0056,entity_0024,1,train
pair_000232,query,entity_0057,entity_0031,entity_0057,entity_0031,entity_0031,entity_0057,entity_0031,entity_0057,0,entity_0057,entity_0031,1,test
pair_000233,demo,entity_0040,entity_0013,entity_0040,entity_0013,entity_0013,entity_0040,entity_0013,entity_0040,0,entity_0040,entity_0013,1,train
pair_000234,demo,entity_0024,entity_0001,entity_0024,entity_0001,entity_0001,entity_0024,entity_0001,entity_0024,0,entity_0024,entity_0001,1,train
pair_000235,query,entity_0060,entity_0009,entity_0060,entity_0009,entity_0009,entity_0060,entity_0009,entity_0060,0,entity_0060,entity_0009,1,test
pair_000236,query,entity_0013,entity_0014,entity_0013,entity_0014,entity_0014,entity_0013,entity_0014,entity_0013,0,entity_0013,entity_0014,1,test
pair_000237,demo,entity_0044,entity_0005,entity_0044,entity_0005,entity_0005,entity_0044,entity_0005,entity_0044,0,entity_0044,entity_0005,1,train
pair_000238,demo,entity_0052,entity_0011,entity_0052,entity_0011,entity_0011,entity_0052,entity_0052,entity_0011,1,entity_0011,entity_0052,0,train
pair_000239,demo,entity_0013,entity_0053,entity_0013,entity_0053,entity_0053,entity_0013,entity_0013,entity_0053,1,entity_0053,entity_0013,0,train
pair_000240,demo,entity_0058,entity_0007,entity_0058,entity_0007,entity_0007,entity_0058,entity_0007,entity_0058,0,entity_0058,entity_0007,1,train
